Event_Date,observations
2012-03-31,297.6666666666667
2012-04-30,308.6666666666667
2012-05-31,375.0
2012-06-30,425.33333333333326
2012-07-31,368.0
2012-08-31,331.6666666666667
2012-09-30,279.6666666666667
2012-10-31,245.33333333333331
2012-11-30,445.66666666666674
2012-12-31,464.0
2013-01-31,529.0
2013-02-28,304.6666666666667
2013-03-31,290.3333333333333
2013-04-30,241.66666666666663
2013-05-31,289.3333333333333
2013-06-30,255.66666666666663
2013-07-31,220.0
2013-08-31,149.33333333333334
2013-09-30,134.33333333333334
2013-10-31,148.0
2013-11-30,165.33333333333334
2013-12-31,172.66666666666663
2014-01-31,142.66666666666666
2014-02-28,108.66666666666669
2014-03-31,118.0
2014-04-30,141.33333333333334
2014-05-31,174.66666666666663
2014-06-30,178.0
2014-07-31,177.33333333333337
2014-08-31,279.6666666666667
2014-09-30,280.3333333333333
2014-10-31,310.0
2014-11-30,390.66666666666674
2014-12-31,376.0
2015-01-31,356.0
2015-02-28,171.0
2015-03-31,299.6666666666667
2015-04-30,295.3333333333333
2015-05-31,313.6666666666667
2015-06-30,255.66666666666663
2015-07-31,244.33333333333331
2015-08-31,246.66666666666663
2015-09-30,192.66666666666663
2015-10-31,236.66666666666663
2015-11-30,356.0
2015-12-31,407.0
2016-01-31,370.66666666666674
2016-02-29,205.66666666666663
2016-03-31,159.33333333333334
2016-04-30,177.33333333333337
2016-05-31,215.33333333333331
2016-06-30,229.33333333333331
2016-07-31,183.66666666666663
2016-08-31,153.33333333333334
2016-09-30,137.0
2016-10-31,179.0
2016-11-30,210.66666666666663
2016-12-31,215.0
2017-01-31,215.66666666666663
2017-02-28,191.66666666666663
2017-03-31,192.66666666666663
2017-04-30,134.0
2017-05-31,121.0
2017-06-30,87.33333333333331
2017-07-31,108.33333333333331
2017-08-31,180.33333333333331
2017-09-30,527.3333333333334
2017-10-31,609.6666666666666
2017-11-30,747.3333333333335
2017-12-31,462.0
2018-01-31,481.66666666666674
2018-02-28,323.0
2018-03-31,283.3333333333333
2018-04-30,231.66666666666663
2018-05-31,225.66666666666663
2018-06-30,239.66666666666663
2018-07-31,190.66666666666663
2018-08-31,194.66666666666663
2018-09-30,203.33333333333331
2018-10-31,197.33333333333331
2018-11-30,187.0
2018-12-31,168.33333333333334
2019-01-31,195.66666666666663
2019-02-28,158.33333333333334
2019-03-31,129.33333333333334
2019-04-30,114.33333333333331
2019-05-31,131.66666666666666
2019-06-30,130.33333333333334
2019-07-31,115.33333333333331
2019-08-31,106.0
2019-09-30,137.33333333333334
2019-10-31,137.0
2019-11-30,119.0
2019-12-31,148.0
2020-01-31,229.66666666666663
2020-02-29,219.0
2020-03-31,149.0
2020-04-30,64.33333333333333
2020-05-31,83.73173690753303
2020-06-30,78.27287480534548
2020-07-31,55.5021585670429
2020-08-31,61.647784245297785
2020-09-30,106.38744206468408
2020-10-31,127.67658292602921
2020-11-30,182.36575005737615
2020-12-31,151.05627916001131
2021-01-31,172.90356913325874
2021-02-28,84.49221664672312
2021-03-31,65.91073173883214
2021-04-30,32.854100454897015
2021-04-30,213.09458764657631
2021-05-31,223.75411892941284
2021-06-30,241.63999512379607
2021-07-31,248.362462801486
2021-08-31,254.89471116118344
2021-09-30,254.35592707788808
2021-10-31,255.98554898542062
2021-11-30,255.6973263728018
2021-12-31,257.9354971422943
2022-01-31,258.9103766161437
2022-02-28,260.7209152585595
2022-03-31,261.10742265162634
